relationship,missing_entity_id,coverage_pct,current_links,possible_links,notes
Solution → Framework,SOL-006,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-007,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-008,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-009,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-010,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-011,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-012,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-013,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-014,0.0,0,58,Supporting Framework populated and resolvable
Solution → Framework,SOL-015,0.0,0,58,Supporting Framework populated and resolvable
Company → Case Study,COMP-041,100.0,40,40,case.Company ID ∈ company_profile; many companies still without cases
Company → Case Study,COMP-042,100.0,40,40,case.Company ID ∈ company_profile; many companies still without cases
Company → Case Study,COMP-043,100.0,40,40,case.Company ID ∈ company_profile; many companies still without cases
Company → Case Study,COMP-044,100.0,40,40,case.Company ID ∈ company_profile; many companies still without cases
Company → Case Study,COMP-045,100.0,40,40,case.Company ID ∈ company_profile; many companies still without cases
Competitor → Company,(86 missing — see coverage),0.0,0,86,competitor_library empty (Batch-015)
