Rule ID,Source Entity,Source Entity ID,Relationship,Relationship Type ID,Target Entity,Target Entity ID,Constraint,Description,Status,Version
RRULE-040,Standard,ENT-011,SUPPORTS,RTYPE-008,Regulation,ENT-010,Allowed,Allowed: Standard SUPPORTS Regulation,active,1.0.0
RRULE-041,Asset,ENT-032,BELONGS_TO,RTYPE-002,Company,ENT-003,Allowed,Allowed: Asset BELONGS_TO Company,active,1.0.0
RRULE-042,Service,ENT-037,BELONGS_TO,RTYPE-002,Product,ENT-004,Allowed,Allowed: Service BELONGS_TO Product,active,1.0.0
RRULE-043,KPI,ENT-014,RELATED_TO,RTYPE-014,Metric,ENT-038,Allowed,Allowed: KPI RELATED_TO Metric,active,1.0.0
RRULE-044,Market,ENT-034,RELATED_TO,RTYPE-014,Industry,ENT-005,Allowed,Allowed: Market RELATED_TO Industry,active,1.0.0
RRULE-045,Opportunity,ENT-026,TARGETS,RTYPE-019,Market,ENT-034,Allowed,Allowed: Opportunity TARGETS Market,active,1.0.0
RRULE-046,Contract,ENT-029,RELATED_TO,RTYPE-014,Customer,ENT-030,Allowed,Allowed: Contract RELATED_TO Customer,active,1.0.0
RRULE-047,Meeting,ENT-027,RELATED_TO,RTYPE-014,Customer,ENT-030,Allowed,Allowed: Meeting RELATED_TO Customer,active,1.0.0
RRULE-048,Source,ENT-024,PROVIDES,RTYPE-005,Document,ENT-023,Allowed,Allowed: Source PROVIDES Document,active,1.0.0
RRULE-049,Dataset,ENT-040,REFERENCES,RTYPE-020,Source,ENT-024,Allowed,Allowed: Dataset REFERENCES Source,active,1.0.0
RRULE-050,Company,ENT-003,BELONGS_TO,RTYPE-002,Organization,ENT-001,Allowed,Allowed: Company BELONGS_TO Organization,active,1.0.0
RRULE-051,Company,ENT-003,OWNS,RTYPE-004,Asset,ENT-032,Allowed,Allowed: Company OWNS Asset,active,1.0.0
RRULE-052,Company,ENT-003,MANAGES,RTYPE-013,Business Process,ENT-013,Allowed,Allowed: Company MANAGES Business Process,active,1.0.0
RRULE-053,Opportunity,ENT-026,RELATED_TO,RTYPE-014,Competitor,ENT-020,Allowed,Allowed: Opportunity RELATED_TO Competitor,active,1.0.0
RRULE-054,Solution,ENT-006,DEPENDS_ON,RTYPE-009,Technology,ENT-008,Allowed,Allowed: Solution DEPENDS_ON Technology,active,1.0.0
RRULE-055,Product,ENT-004,USES,RTYPE-003,Technology,ENT-008,Allowed,Allowed: Product USES Technology,active,1.0.0
RRULE-056,Industry,ENT-005,SOLVED_BY,RTYPE-015,Company,ENT-003,Forbidden,Industries are not solved by companies; pain points are,active,1.0.0
RRULE-057,Pain Point,ENT-007,BELONGS_TO,RTYPE-002,Product,ENT-004,Forbidden,Pain points do not belong to products as classification,active,1.0.0
RRULE-058,KPI,ENT-014,EMPLOYS,RTYPE-018,Company,ENT-003,Forbidden,KPIs cannot employ companies,active,1.0.0
RRULE-059,City,ENT-018,BELONGS_TO,RTYPE-002,Company,ENT-003,Forbidden,Cities do not belong to companies,active,1.0.0
RRULE-060,Regulation,ENT-010,OFFERS,RTYPE-017,Product,ENT-004,Forbidden,Regulations do not offer products,active,1.0.0
RRULE-061,Document,ENT-023,COMPETES_WITH,RTYPE-010,Company,ENT-003,Forbidden,Documents do not compete with companies,active,1.0.0
RRULE-062,Country,ENT-017,HAS,RTYPE-001,Opportunity,ENT-026,Forbidden,Countries do not own commercial opportunities in this ontology,active,1.0.0
RRULE-063,Technology,ENT-008,REPORTS_TO,RTYPE-011,Role,ENT-015,Forbidden,Technologies do not report to roles,active,1.0.0
RRULE-064,Product,ENT-004,SOLVED_BY,RTYPE-015,Pain Point,ENT-007,Forbidden,Direction inverted; use Pain Point SOLVED_BY Solution,active,1.0.0
RRULE-065,Solution,ENT-006,BELONGS_TO,RTYPE-002,Pain Point,ENT-007,Forbidden,Solutions do not classify under pain points,active,1.0.0
